Instance,datetime,WS,WD,TMP,RH
CHI2015,27-03-2014 18:00,7.92,337,29.100000381469727,44.0
CHI2015,27-03-2014 19:00,3.24,337,31.700000762939453,38.2
CHI2015,27-03-2014 20:00,1.8,202,30.700000762939453,37.6
CHI2015,27-03-2014 21:00,1.8,270,28.299999237060547,25.8
CHI2015,27-03-2014 22:00,1.8,270,28.799999237060547,54.6
CHI2015,27-03-2014 23:00,3.24,315,29.5,51.6
CHI2015,28-03-2014 0:00,4.68,180,28.299999237060547,63.8
CHI2015,28-03-2014 1:00,3.24,292,28.399999618530273,60.6
CHI2015,28-03-2014 2:00,6.48,180,30.399999618530273,39.2
CHI2015,28-03-2014 3:00,7.92,180,35.400001525878906,32.2
CHI2015,28-03-2014 4:00,9.72,157,33.29999923706055,40.6
CHI2015,28-03-2014 5:00,7.92,157,28.700000762939453,26.2
CHI2015,28-03-2014 6:00,6.48,180,28.299999237060547,25.8
CHI2015,28-03-2014 7:00,7.92,180,30.200000762939453,49.8
CHI2015,28-03-2014 8:00,4.68,157,31.799999237060547,38.8
CHI2015,28-03-2014 9:00,3.24,292,28.700000762939453,51.8
CHI2015,28-03-2014 10:00,7.92,315,31.600000381469727,37.6
CHI2015,28-03-2014 11:00,11.16,337,31.399999618530273,39.0
CHI2015,28-03-2014 12:00,12.96,337,30.100000381469727,43.6
CHI2015,28-03-2014 13:00,16.2,337,28.299999237060547,25.8
CHI2015,28-03-2014 14:00,16.2,315,29.100000381469727,44.0
CHI2015,28-03-2014 15:00,12.96,337,28.299999237060547,59.2
CHI2015,28-03-2014 16:00,9.72,337,31.399999618530273,39.0
CHI2015,28-03-2014 17:00,9.72,270,30.100000381469727,43.6
CHI2015,28-03-2014 18:00,14.4,247,32.70000076293945,41.8
CHI2015,28-03-2014 19:00,7.92,337,28.399999618530273,60.6
CHI2015,28-03-2014 20:00,6.48,315,28.700000762939453,57.0
CHI2015,28-03-2014 21:00,3.24,315,28.899999618530273,52.6
CHI2015,28-03-2014 22:00,4.68,315,28.200000762939453,57.2
CHI2015,28-03-2014 23:00,3.24,292,29.600000381469727,46.6
CHI2015,29-03-2014 0:00,3.24,292,28.399999618530273,60.6
CHI2015,29-03-2014 1:00,3.24,292,30.0,44.8
CHI2015,29-03-2014 2:00,3.24,292,30.700000762939453,37.6
