Instance,datetime,WS,WD,TMP,RH
CHI2015,08-03-2014 18:00,6.48,157.0,28.200000762939453,57.2
CHI2015,08-03-2014 19:00,12.96,157.0,28.100000381469727,48.8
CHI2015,08-03-2014 20:00,12.96,135.0,32.0,45.0
CHI2015,08-03-2014 21:00,4.68,135.0,28.200000762939453,47.4
CHI2015,08-03-2014 22:00,4.68,135.0,30.0,44.0
CHI2015,08-03-2014 23:00,3.24,135.0,28.399999618530273,60.6
CHI2015,09-03-2014 0:00,9.72,135.0,28.799999237060547,54.6
CHI2015,09-03-2014 1:00,9.72,135.0,33.20000076293945,31.6
CHI2015,09-03-2014 2:00,11.16,157.0,28.799999237060547,54.6
CHI2015,09-03-2014 3:00,9.72,112.0,28.200000762939453,47.4
CHI2015,09-03-2014 4:00,9.72,112.0,29.299999237060547,54.0
CHI2015,09-03-2014 5:00,7.92,157.0,30.399999618530273,35.6
CHI2015,09-03-2014 6:00,3.24,90.0,28.700000762939453,26.2
CHI2015,09-03-2014 7:00,4.68,135.0,28.299999237060547,63.8
CHI2015,09-03-2014 8:00,7.92,135.0,34.70000076293945,29.6
CHI2015,09-03-2014 9:00,7.92,135.0,28.100000381469727,62.2
CHI2015,09-03-2014 10:00,9.72,157.0,33.20000076293945,31.6
CHI2015,09-03-2014 11:00,12.96,135.0,28.700000762939453,26.2
CHI2015,09-03-2014 12:00,12.96,135.0,28.299999237060547,25.8
CHI2015,09-03-2014 13:00,17.64,135.0,28.100000381469727,62.2
CHI2015,09-03-2014 14:00,16.2,135.0,28.299999237060547,57.0
CHI2015,09-03-2014 15:00,17.64,135.0,29.299999237060547,54.0
