Instance,datetime,WS,WD,TMP,RH
CHI2015,15-03-2014 16:00,7.59789473684211,327.736842105263,28.299999237060547,57.6
CHI2015,15-03-2014 17:00,7.86315789473684,328.894736842105,28.700000762939453,57.0
CHI2015,15-03-2014 18:00,8.12842105263158,330.052631578947,31.399999618530273,39.0
CHI2015,15-03-2014 19:00,8.39368421052631,331.210526315789,34.70000076293945,29.6
CHI2015,15-03-2014 20:00,8.65894736842105,332.368421052632,28.299999237060547,63.8
CHI2015,15-03-2014 21:00,8.92421052631579,333.526315789474,28.600000381469727,55.0
CHI2015,15-03-2014 22:00,9.18947368421053,334.684210526316,30.399999618530273,39.2
CHI2015,15-03-2014 23:00,9.45473684210526,335.842105263158,34.70000076293945,29.6
CHI2015,16-03-2014 0:00,9.72,337.0,31.100000381469727,41.0
CHI2015,16-03-2014 1:00,12.96,270.0,30.0,44.8
CHI2015,16-03-2014 2:00,19.44,292.0,30.0,44.0
CHI2015,16-03-2014 3:00,16.2,315.0,29.399999618530273,63.0
CHI2015,16-03-2014 4:00,14.4,292.0,28.100000381469727,58.2
