fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,fmc,py
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.8113478870137721
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.5606176519114465
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.551507364252594
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.9335870633419323
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.9114663119228132
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.653325085880043
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.953442396420224
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.8472758818444628
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.3993378012221189
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.1102394618564233
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.9874233327878761
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.31731904796468846
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.806071517828639
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.07074505665586417
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.5924767231233009
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.4631599046924293
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.7931150411496594
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.02733312853165948
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.31933898902446545
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.11520173627521835
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.5919093763499569
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.06850948630667375
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.4545554223177285
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.9817704894924741
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.7166951565731463
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.29326142878611383
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.2602896408962003
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.6907901342430804
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.6812321666681055
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.5205252272094176
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.6651979668272372
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.44711512865089664
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.06276499611172481
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.5474913209901922
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.13832566500069143
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.12819096093990678
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.7081636887102957
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.6812209296170809
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.3611073263568455
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.3036942262569704
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.9188190790492407
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.3326568606849155
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.46774033305611773
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.8072264119089606
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.6878813325090577
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.18172077028854539
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.17754483497342421
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.7422807340017556
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.5910078018979225
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.057773885925817114
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.2654524981789953
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.542678360813875
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.25711850129051295
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.04984706274678574
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.8545336554118209
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.6739118235568468
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.16768366757293995
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.5646973358622887
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.902047603508573
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.06980429703090563
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.9165892449802956
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.8114321290345649
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.46693605335012855
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.3412088431584809
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.5060351426047054
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.5517472529495169
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.015467059943729655
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.1213414877069322
PCH3,51.621244,-115.608378,0.0,,,0.0,0.0,,,,,3,,0.8162694165507526
