fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,fmc,py,jd,jd_min,pc,pdf,time,ffmc,bui,gfl,pattern
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.8113478870137721,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.5606176519114465,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.551507364252594,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.9335870633419323,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.9114663119228132,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.653325085880043,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.953442396420224,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.8472758818444628,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.3993378012221189,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.1102394618564233,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.9874233327878761,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.31731904796468846,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.806071517828639,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.07074505665586417,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.5924767231233009,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.4631599046924293,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.7931150411496594,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.02733312853165948,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.31933898902446545,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.11520173627521835,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.5919093763499569,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.06850948630667375,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.4545554223177285,,,,,20,,,,
GR1,51.621244,-115.608378,1.0,,,,,,,,,101,,0.9817704894924741,,,,,20,,,,
