Scenario,datetime,WS,WD,FireScenario
1,10/5/2017 17:00,3.6,90.0,EWE
1,10/5/2017 18:00,0.72,304.0,EWE
1,10/5/2017 19:00,0.0,101.0,EWE
1,10/5/2017 20:00,0.0,101.0,EWE
1,10/5/2017 21:00,0.0,101.0,EWE
1,10/5/2017 22:00,0.0,146.0,EWE
1,10/5/2017 23:00,0.0,214.0,EWE
1,10/6/2017 0:00,0.0,0.0,EWE
1,10/6/2017 1:00,0.0,90.0,EWE
1,10/6/2017 2:00,0.0,101.0,EWE
1,10/6/2017 3:00,0.0,191.0,EWE
1,10/6/2017 4:00,0.0,101.0,EWE
1,10/6/2017 5:00,0.0,326.0,EWE
1,10/6/2017 6:00,0.0,135.0,EWE
1,10/6/2017 7:00,0.0,135.0,EWE
1,10/6/2017 8:00,0.0,248.0,EWE
1,10/6/2017 9:00,0.0,225.0,EWE
1,10/6/2017 10:00,0.0,135.0,EWE
1,10/6/2017 11:00,1.08,236.0,EWE
1,10/6/2017 12:00,2.16,214.0,EWE
1,10/6/2017 13:00,2.52,214.0,EWE
1,10/6/2017 14:00,2.52,214.0,EWE
1,10/6/2017 15:00,2.52,214.0,EWE
1,10/6/2017 16:00,3.24,101.0,EWE
1,10/6/2017 17:00,2.88,124.0,EWE
1,10/6/2017 18:00,1.44,0.0,EWE
1,10/6/2017 19:00,0.36,191.0,EWE
1,10/6/2017 20:00,0.0,0.0,EWE
1,10/6/2017 21:00,0.0,0.0,EWE
1,10/6/2017 22:00,0.0,0.0,EWE
1,10/6/2017 23:00,0.0,248.0,EWE
1,10/7/2017 0:00,0.0,203.0,EWE
1,10/7/2017 1:00,0.0,304.0,EWE
1,10/7/2017 2:00,0.0,293.0,EWE
1,10/7/2017 3:00,0.0,203.0,EWE
1,10/7/2017 4:00,0.0,270.0,EWE
1,10/7/2017 5:00,0.0,11.0,EWE
1,10/7/2017 6:00,0.0,259.0,EWE
1,10/7/2017 7:00,0.0,90.0,EWE
1,10/7/2017 8:00,0.0,23.0,EWE
1,10/7/2017 9:00,0.0,326.0,EWE
1,10/7/2017 10:00,0.36,135.0,EWE
1,10/7/2017 11:00,2.16,338.0,EWE
