Scenario,datetime,WS,WD,TM,RH
DMC 1,2022-12-21 16:00:00,16.6,151.0,24.7,38.1
DMC 1,2022-12-21 17:00:00,18.8,159.0,24.6,36.8
DMC 1,2022-12-21 18:00:00,12.1,153.0,23.6,43.3
DMC 1,2022-12-21 19:00:00,10.4,99.0,22.1,49.2
DMC 1,2022-12-21 20:00:00,5.2,115.0,19.4,56.7
DMC 1,2022-12-21 21:00:00,5.5,185.0,17.9,57.0
DMC 1,2022-12-21 22:00:00,8.2,205.0,16.4,60.2
DMC 1,2022-12-21 23:00:00,12.7,172.0,15.6,66.2
DMC 1,2022-12-22 00:00:00,15.7,202.0,15.3,71.0
DMC 1,2022-12-22 01:00:00,15.7,195.0,14.8,75.0
DMC 1,2022-12-22 02:00:00,18.9,166.0,14.7,77.1
DMC 1,2022-12-22 03:00:00,16.9,201.0,14.6,76.1
