Scenario,datetime,WS,WD,TM,RH
DMC 84,2024-01-28 14:00:00,9.0,164.0,24.2,50.5
DMC 84,2024-01-28 15:00:00,7.3,188.0,23.4,52.8
DMC 84,2024-01-28 16:00:00,15.2,63.0,22.5,61.8
DMC 84,2024-01-28 17:00:00,12.6,137.0,20.7,70.9
DMC 84,2024-01-28 18:00:00,7.6,138.0,19.2,82.8
DMC 84,2024-01-28 19:00:00,12.5,58.0,19.8,66.6
DMC 84,2024-01-28 20:00:00,10.4,39.0,18.1,69.1
DMC 84,2024-01-28 21:00:00,7.5,58.0,16.7,73.8
DMC 84,2024-01-28 22:00:00,4.5,358.0,14.9,78.6
DMC 84,2024-01-28 23:00:00,2.1,357.0,12.8,86.4
DMC 84,2024-01-29 00:00:00,2.2,51.0,12.1,90.8
DMC 84,2024-01-29 01:00:00,2.0,290.0,11.6,91.8
