Scenario,datetime,WS,WD,TM,RH
DMC 21,2023-01-14 12:00:00,19.8,40.0,23.2,42.2
DMC 21,2023-01-14 13:00:00,20.1,5.0,24.2,37.9
DMC 21,2023-01-14 14:00:00,19.2,36.0,25.2,32.3
DMC 21,2023-01-14 15:00:00,21.0,3.0,25.9,29.7
DMC 21,2023-01-14 16:00:00,19.5,6.0,26.2,32.2
DMC 21,2023-01-14 17:00:00,22.1,346.0,26.2,34.4
DMC 21,2023-01-14 18:00:00,24.0,347.0,24.9,37.0
DMC 21,2023-01-14 19:00:00,25.5,10.0,22.9,40.5
DMC 21,2023-01-14 20:00:00,18.6,349.0,21.2,47.6
DMC 21,2023-01-14 21:00:00,13.1,19.0,19.4,55.1
DMC 21,2023-01-14 22:00:00,13.9,340.0,17.5,63.6
DMC 21,2023-01-14 23:00:00,16.3,315.0,15.7,72.7
