Scenario,datetime,WS,WD,TM,RH
DMC 36,2023-03-11 12:00:00,24.1,174.0,21.8,40.8
DMC 36,2023-03-11 13:00:00,24.4,175.0,22.9,36.6
DMC 36,2023-03-11 14:00:00,23.2,217.0,23.5,39.2
DMC 36,2023-03-11 15:00:00,24.0,202.0,24.4,36.8
DMC 36,2023-03-11 16:00:00,26.8,181.0,25.0,28.2
DMC 36,2023-03-11 17:00:00,27.2,146.0,24.0,36.7
DMC 36,2023-03-11 18:00:00,22.3,174.0,22.5,39.1
DMC 36,2023-03-11 19:00:00,16.1,154.0,20.5,45.8
DMC 36,2023-03-11 20:00:00,8.2,142.0,18.8,51.8
DMC 36,2023-03-11 21:00:00,9.5,201.0,17.6,60.6
DMC 36,2023-03-11 22:00:00,10.1,237.0,16.7,70.8
DMC 36,2023-03-11 23:00:00,10.5,222.0,16.2,77.6
