Scenario,datetime,WS,WD,TM,RH
DMC 93,2024-04-01 16:00:00,20.4,346.0,28.4,25.0
DMC 93,2024-04-01 17:00:00,23.2,30.0,27.8,25.0
DMC 93,2024-04-01 18:00:00,21.8,350.0,26.6,28.5
DMC 93,2024-04-01 19:00:00,21.1,18.0,23.7,30.3
DMC 93,2024-04-01 20:00:00,18.2,352.0,21.3,36.8
DMC 93,2024-04-01 21:00:00,16.7,355.0,19.6,44.0
DMC 93,2024-04-01 22:00:00,15.3,342.0,17.9,49.5
DMC 93,2024-04-01 23:00:00,12.3,340.0,16.2,54.3
DMC 93,2024-04-02 00:00:00,14.2,355.0,15.1,57.3
DMC 93,2024-04-02 01:00:00,15.6,343.0,14.7,61.3
DMC 93,2024-04-02 02:00:00,17.1,333.0,14.3,65.2
DMC 93,2024-04-02 03:00:00,18.5,338.0,13.7,72.9
