Scenario,datetime,WS,WD,TM,RH
DMC 76,2023-12-27 16:00:00,7.7,13.0,29.0,35.0
DMC 76,2023-12-27 17:00:00,12.2,19.0,28.5,37.1
DMC 76,2023-12-27 18:00:00,8.3,27.0,27.2,44.3
DMC 76,2023-12-27 19:00:00,7.2,1.0,25.2,52.7
DMC 76,2023-12-27 20:00:00,6.5,346.0,22.0,65.1
DMC 76,2023-12-27 21:00:00,4.0,208.0,19.9,74.2
DMC 76,2023-12-27 22:00:00,3.6,11.0,17.7,81.6
DMC 76,2023-12-27 23:00:00,1.3,180.0,15.9,89.4
DMC 76,2023-12-28 00:00:00,3.8,208.0,14.5,94.2
DMC 76,2023-12-28 01:00:00,2.3,225.0,13.5,95.6
DMC 76,2023-12-28 02:00:00,2.8,138.0,12.6,94.6
DMC 76,2023-12-28 03:00:00,3.6,193.0,11.3,94.6
