Scenario,datetime,WS,WD,TM,RH
DMC 26,2021-01-05 16:00:00,17.9,348.0,28.5,33.6
DMC 26,2021-01-05 17:00:00,18.8,353.0,27.7,38.7
DMC 26,2021-01-05 18:00:00,15.9,10.0,26.1,43.2
DMC 26,2021-01-05 19:00:00,13.8,31.0,22.3,49.3
DMC 26,2021-01-05 20:00:00,9.4,70.0,17.5,61.7
DMC 26,2021-01-05 21:00:00,3.7,77.0,15.2,69.1
DMC 26,2021-01-05 22:00:00,3.6,3.0,14.6,71.3
DMC 26,2021-01-05 23:00:00,4.0,359.0,13.7,75.5
DMC 26,2021-01-06 00:00:00,4.5,346.0,12.8,78.8
DMC 26,2021-01-06 01:00:00,4.6,6.0,11.6,83.4
DMC 26,2021-01-06 02:00:00,4.9,355.0,10.5,87.8
DMC 26,2021-01-06 03:00:00,4.4,321.0,10.1,89.6
