Scenario,datetime,WS,WD,TM,RH
DMC 91,2023-02-24 16:00:00,15.4,75.0,24.8,30.4
DMC 91,2023-02-24 17:00:00,16.2,17.0,24.1,37.6
DMC 91,2023-02-24 18:00:00,12.0,53.0,22.8,43.0
DMC 91,2023-02-24 19:00:00,10.7,42.0,21.0,53.0
DMC 91,2023-02-24 20:00:00,10.6,64.0,18.8,62.7
DMC 91,2023-02-24 21:00:00,9.0,28.0,17.0,70.0
DMC 91,2023-02-24 22:00:00,6.7,348.0,15.6,77.2
DMC 91,2023-02-24 23:00:00,5.8,14.0,14.8,82.0
DMC 91,2023-02-25 00:00:00,3.2,356.0,14.7,85.8
DMC 91,2023-02-25 01:00:00,1.5,322.0,13.6,88.4
DMC 91,2023-02-25 02:00:00,3.6,314.0,14.3,87.5
DMC 91,2023-02-25 03:00:00,3.3,251.0,14.0,88.7
