Scenario,datetime,WS,WD,TM,RH
DMC 58,2024-01-29 16:00:00,13.1,32.0,27.6,34.4
DMC 58,2024-01-29 17:00:00,11.8,358.0,27.2,35.9
DMC 58,2024-01-29 18:00:00,9.7,9.0,26.4,39.5
DMC 58,2024-01-29 19:00:00,8.7,338.0,24.3,48.9
DMC 58,2024-01-29 20:00:00,6.3,34.0,20.4,64.1
DMC 58,2024-01-29 21:00:00,4.1,34.0,18.3,69.6
DMC 58,2024-01-29 22:00:00,0.9,23.0,15.7,78.4
DMC 58,2024-01-29 23:00:00,1.7,63.0,14.5,80.9
DMC 58,2024-01-30 00:00:00,1.6,30.0,13.2,83.8
DMC 58,2024-01-30 01:00:00,1.6,180.0,12.6,85.0
DMC 58,2024-01-30 02:00:00,0.1,180.0,12.1,86.1
DMC 58,2024-01-30 03:00:00,0.4,180.0,11.0,88.7
