Scenario,datetime,WS,WD,TM,RH
DMC 68,2023-01-30 12:00:00,16.5,358.0,23.1,56.7
DMC 68,2023-01-30 13:00:00,18.5,4.0,25.2,49.9
DMC 68,2023-01-30 14:00:00,20.9,43.0,26.1,46.3
DMC 68,2023-01-30 15:00:00,20.6,32.0,26.6,44.6
DMC 68,2023-01-30 16:00:00,21.4,16.0,26.2,47.0
DMC 68,2023-01-30 17:00:00,23.5,22.0,24.8,50.9
DMC 68,2023-01-30 18:00:00,21.2,27.0,23.5,53.6
DMC 68,2023-01-30 19:00:00,20.8,46.0,20.3,64.1
DMC 68,2023-01-30 20:00:00,15.3,49.0,16.9,72.2
DMC 68,2023-01-30 21:00:00,11.1,73.0,14.6,74.7
DMC 68,2023-01-30 22:00:00,6.3,34.0,13.1,77.0
DMC 68,2023-01-30 23:00:00,5.5,16.0,12.0,80.3
