Scenario,datetime,WS,WD,TM,RH
DMC 14,2023-01-27 14:00:00,22.2,346.0,27.3,25.0
DMC 14,2023-01-27 15:00:00,21.2,349.0,28.2,25.0
DMC 14,2023-01-27 16:00:00,18.3,33.0,28.5,25.0
DMC 14,2023-01-27 17:00:00,22.0,350.0,27.9,25.3
DMC 14,2023-01-27 18:00:00,24.8,349.0,25.7,31.0
DMC 14,2023-01-27 19:00:00,24.9,355.0,23.0,33.2
DMC 14,2023-01-27 20:00:00,20.1,13.0,20.5,37.9
DMC 14,2023-01-27 21:00:00,17.1,7.0,18.7,43.9
DMC 14,2023-01-27 22:00:00,13.6,5.0,16.9,49.3
DMC 14,2023-01-27 23:00:00,15.7,334.0,15.6,54.5
DMC 14,2023-01-28 00:00:00,14.5,341.0,14.7,58.3
DMC 14,2023-01-28 01:00:00,10.4,336.0,14.1,61.0
