Scenario,datetime,WS,WD,TM,RH
DMC 13,2023-01-26 16:00:00,17.3,348.0,25.3,32.7
DMC 13,2023-01-26 17:00:00,19.2,33.0,24.8,34.7
DMC 13,2023-01-26 18:00:00,22.9,348.0,24.3,36.4
DMC 13,2023-01-26 19:00:00,21.4,330.0,22.2,38.8
DMC 13,2023-01-26 20:00:00,16.7,15.0,20.4,40.8
DMC 13,2023-01-26 21:00:00,15.4,35.0,19.0,42.8
DMC 13,2023-01-26 22:00:00,12.9,18.0,17.6,46.5
DMC 13,2023-01-26 23:00:00,10.2,334.0,15.8,56.1
DMC 13,2023-01-27 00:00:00,7.0,329.0,14.6,63.0
DMC 13,2023-01-27 01:00:00,11.8,330.0,14.2,69.5
DMC 13,2023-01-27 02:00:00,6.7,18.0,13.6,70.6
DMC 13,2023-01-27 03:00:00,9.6,55.0,13.7,69.1
