Scenario,datetime,WS,WD,TM,RH
DMC 11,2023-01-24 16:00:00,11.7,30.0,24.9,27.9
DMC 11,2023-01-24 17:00:00,14.3,357.0,25.0,27.6
DMC 11,2023-01-24 18:00:00,14.0,334.0,24.6,28.6
DMC 11,2023-01-24 19:00:00,12.9,1.0,23.1,32.6
DMC 11,2023-01-24 20:00:00,16.3,338.0,20.4,39.7
DMC 11,2023-01-24 21:00:00,20.6,1.0,17.9,42.8
DMC 11,2023-01-24 22:00:00,21.4,354.0,16.0,45.5
DMC 11,2023-01-24 23:00:00,19.9,4.0,14.6,49.8
DMC 11,2023-01-25 00:00:00,17.6,6.0,13.4,56.1
DMC 11,2023-01-25 01:00:00,15.9,3.0,12.4,61.4
DMC 11,2023-01-25 02:00:00,15.0,340.0,11.6,65.1
DMC 11,2023-01-25 03:00:00,11.6,1.0,10.8,70.7
