Scenario,datetime,WS,WD,TM,RH
DMC 78,2024-01-27 14:00:00,9.6,200.0,25.3,51.8
DMC 78,2024-01-27 15:00:00,10.4,163.0,25.7,49.8
DMC 78,2024-01-27 16:00:00,10.0,180.0,25.8,49.0
DMC 78,2024-01-27 17:00:00,10.8,143.0,26.0,48.8
DMC 78,2024-01-27 18:00:00,12.7,150.0,24.4,54.9
DMC 78,2024-01-27 19:00:00,13.1,111.0,21.6,54.0
DMC 78,2024-01-27 20:00:00,9.1,63.0,17.6,55.5
DMC 78,2024-01-27 21:00:00,1.5,13.0,15.6,64.0
DMC 78,2024-01-27 22:00:00,1.9,180.0,14.2,68.1
DMC 78,2024-01-27 23:00:00,5.2,15.0,13.2,69.7
DMC 78,2024-01-28 00:00:00,4.0,26.0,11.3,80.6
DMC 78,2024-01-28 01:00:00,3.9,67.0,10.4,85.3
