Scenario,datetime,WS,WD,TM,RH
DMC 24,2023-01-13 16:00:00,19.2,11.0,28.5,25.0
DMC 24,2023-01-13 17:00:00,19.1,32.0,28.3,25.0
DMC 24,2023-01-13 18:00:00,19.2,12.0,27.9,25.0
DMC 24,2023-01-13 19:00:00,15.6,23.0,26.6,26.8
DMC 24,2023-01-13 20:00:00,24.0,14.0,23.3,38.3
DMC 24,2023-01-13 21:00:00,26.0,0.0,19.3,50.4
DMC 24,2023-01-13 22:00:00,20.6,0.0,16.8,57.5
DMC 24,2023-01-13 23:00:00,17.4,340.0,15.8,61.0
DMC 24,2023-01-14 00:00:00,17.3,359.0,14.8,65.4
DMC 24,2023-01-14 01:00:00,20.2,0.0,13.6,70.9
DMC 24,2023-01-14 02:00:00,17.6,358.0,13.2,69.2
DMC 24,2023-01-14 03:00:00,14.3,348.0,12.6,70.8
