Scenario,datetime,WS,WD,TM,RH
DMC 42,2021-01-13 12:00:00,5.3,85.0,22.6,32.4
DMC 42,2021-01-13 13:00:00,8.1,102.0,24.5,26.2
DMC 42,2021-01-13 14:00:00,7.5,47.0,26.2,25.0
DMC 42,2021-01-13 15:00:00,10.4,116.0,27.1,25.0
DMC 42,2021-01-13 16:00:00,8.8,56.0,27.3,25.0
DMC 42,2021-01-13 17:00:00,13.5,14.0,26.2,29.0
DMC 42,2021-01-13 18:00:00,15.0,9.0,23.5,37.9
DMC 42,2021-01-13 19:00:00,12.7,2.0,20.8,43.2
DMC 42,2021-01-13 20:00:00,7.3,353.0,17.2,49.4
DMC 42,2021-01-13 21:00:00,7.1,344.0,14.1,58.0
DMC 42,2021-01-13 22:00:00,4.9,22.0,12.1,66.4
DMC 42,2021-01-13 23:00:00,5.2,351.0,10.5,74.2
