Scenario,datetime,WS,WD,TM,RH
DMC 51,2024-03-14 16:00:00,17.7,20.0,27.2,30.4
DMC 51,2024-03-14 17:00:00,15.3,16.0,26.8,33.0
DMC 51,2024-03-14 18:00:00,14.4,8.0,25.5,37.5
DMC 51,2024-03-14 19:00:00,12.5,27.0,23.0,44.5
DMC 51,2024-03-14 20:00:00,6.7,29.0,19.8,52.7
DMC 51,2024-03-14 21:00:00,4.6,38.0,17.1,60.2
DMC 51,2024-03-14 22:00:00,4.7,8.0,15.4,65.3
DMC 51,2024-03-14 23:00:00,3.3,19.0,13.6,70.4
DMC 51,2024-03-15 00:00:00,1.5,53.0,12.0,74.4
DMC 51,2024-03-15 01:00:00,0.5,180.0,10.2,79.5
DMC 51,2024-03-15 02:00:00,2.9,79.0,10.3,80.1
DMC 51,2024-03-15 03:00:00,2.1,348.0,10.1,81.1
