Scenario,datetime,WS,WD,TM,RH
DMC 9,2024-04-19 16:00:00,24.6,119.0,20.9,44.4
DMC 9,2024-04-19 17:00:00,23.2,98.0,18.8,55.0
DMC 9,2024-04-19 18:00:00,23.6,136.0,17.6,60.4
DMC 9,2024-04-19 19:00:00,20.1,151.0,16.8,66.8
DMC 9,2024-04-19 20:00:00,23.3,154.0,16.2,73.1
DMC 9,2024-04-19 21:00:00,20.1,172.0,16.0,75.6
DMC 9,2024-04-19 22:00:00,18.1,182.0,16.0,75.2
DMC 9,2024-04-19 23:00:00,17.9,180.0,15.1,82.8
DMC 9,2024-04-20 00:00:00,17.8,191.0,14.1,88.9
DMC 9,2024-04-20 01:00:00,18.7,195.0,13.8,89.6
DMC 9,2024-04-20 02:00:00,17.5,194.0,13.4,91.3
DMC 9,2024-04-20 03:00:00,8.2,172.0,13.1,94.8
