Scenario,datetime,WS,WD,TM,RH
DMC 95,2023-03-02 16:00:00,20.7,3.0,25.6,38.4
DMC 95,2023-03-02 17:00:00,21.8,26.0,24.9,40.1
DMC 95,2023-03-02 18:00:00,18.6,74.0,22.6,45.1
DMC 95,2023-03-02 19:00:00,18.6,13.0,19.3,54.0
DMC 95,2023-03-02 20:00:00,13.5,54.0,16.0,68.2
DMC 95,2023-03-02 21:00:00,9.3,42.0,14.3,75.0
DMC 95,2023-03-02 22:00:00,7.1,51.0,13.2,80.0
DMC 95,2023-03-02 23:00:00,6.3,344.0,12.4,84.1
DMC 95,2023-03-03 00:00:00,3.3,32.0,11.9,86.4
DMC 95,2023-03-03 01:00:00,3.9,2.0,11.4,89.1
DMC 95,2023-03-03 02:00:00,5.3,338.0,11.5,91.6
DMC 95,2023-03-03 03:00:00,5.8,33.0,12.1,88.8
