Scenario,datetime,WS,WD,TM,RH
DMC 30,2020-11-10 12:00:00,19.1,351.0,23.5,50.2
DMC 30,2020-11-10 13:00:00,18.5,316.0,25.4,46.9
DMC 30,2020-11-10 14:00:00,16.0,340.0,27.2,41.8
DMC 30,2020-11-10 15:00:00,16.0,334.0,28.4,37.1
DMC 30,2020-11-10 16:00:00,13.0,332.0,29.0,34.8
DMC 30,2020-11-10 17:00:00,14.1,9.0,28.3,39.2
DMC 30,2020-11-10 18:00:00,11.6,335.0,27.0,43.3
DMC 30,2020-11-10 19:00:00,10.8,10.0,23.8,54.4
DMC 30,2020-11-10 20:00:00,10.1,29.0,21.8,60.3
DMC 30,2020-11-10 21:00:00,4.7,328.0,19.2,70.3
DMC 30,2020-11-10 22:00:00,6.8,330.0,18.0,70.3
DMC 30,2020-11-10 23:00:00,8.2,348.0,17.1,69.4
