Scenario,datetime,WS,WD,TM,RH
DMC 86,2021-01-25 14:00:00,20.4,6.0,25.8,26.4
DMC 86,2021-01-25 15:00:00,19.9,350.0,26.6,27.0
DMC 86,2021-01-25 16:00:00,18.2,6.0,27.2,26.9
DMC 86,2021-01-25 17:00:00,20.4,28.0,27.1,28.2
DMC 86,2021-01-25 18:00:00,23.6,354.0,25.6,32.0
DMC 86,2021-01-25 19:00:00,21.7,5.0,23.0,39.4
DMC 86,2021-01-25 20:00:00,22.4,352.0,20.5,44.5
DMC 86,2021-01-25 21:00:00,21.6,28.0,18.9,48.1
DMC 86,2021-01-25 22:00:00,20.6,5.0,17.4,55.3
DMC 86,2021-01-25 23:00:00,23.1,357.0,16.0,63.3
DMC 86,2021-01-26 00:00:00,12.3,10.0,14.8,69.9
DMC 86,2021-01-26 01:00:00,11.1,31.0,14.2,71.2
