Scenario,datetime,WS,WD,TM,RH
DMC 88,2021-03-21 16:00:00,8.9,18.0,27.2,25.7
DMC 88,2021-03-21 17:00:00,11.4,32.0,26.5,27.3
DMC 88,2021-03-21 18:00:00,11.5,47.0,24.2,36.6
DMC 88,2021-03-21 19:00:00,9.4,341.0,20.5,48.9
DMC 88,2021-03-21 20:00:00,6.2,68.0,17.3,53.0
DMC 88,2021-03-21 21:00:00,3.2,47.0,15.6,56.8
DMC 88,2021-03-21 22:00:00,1.2,8.0,13.8,63.9
DMC 88,2021-03-21 23:00:00,2.6,180.0,12.8,65.7
DMC 88,2021-03-22 00:00:00,1.2,53.0,12.7,65.3
DMC 88,2021-03-22 01:00:00,2.0,266.0,11.3,72.4
DMC 88,2021-03-22 02:00:00,1.5,180.0,9.0,82.4
DMC 88,2021-03-22 03:00:00,2.2,180.0,9.6,81.1
