Scenario,datetime,WS,WD,TM,RH
DMC 55,2023-03-21 16:00:00,12.1,3.0,28.0,25.0
DMC 55,2023-03-21 17:00:00,12.0,347.0,27.4,25.0
DMC 55,2023-03-21 18:00:00,12.1,13.0,26.0,28.9
DMC 55,2023-03-21 19:00:00,8.4,0.0,22.7,37.2
DMC 55,2023-03-21 20:00:00,10.3,346.0,20.7,39.4
DMC 55,2023-03-21 21:00:00,13.4,351.0,19.8,48.3
DMC 55,2023-03-21 22:00:00,11.8,355.0,18.2,53.1
DMC 55,2023-03-21 23:00:00,13.3,3.0,17.0,58.0
DMC 55,2023-03-22 00:00:00,8.1,337.0,15.7,62.7
DMC 55,2023-03-22 01:00:00,6.6,339.0,14.4,67.8
DMC 55,2023-03-22 02:00:00,7.1,333.0,13.4,73.4
DMC 55,2023-03-22 03:00:00,5.8,346.0,12.7,79.4
