Scenario,datetime,WS,WD,TM,RH
DMC 85,2024-02-14 12:00:00,20.8,12.0,22.3,38.6
DMC 85,2024-02-14 13:00:00,19.0,36.0,23.6,35.4
DMC 85,2024-02-14 14:00:00,18.4,28.0,24.6,31.8
DMC 85,2024-02-14 15:00:00,20.0,4.0,25.3,29.4
DMC 85,2024-02-14 16:00:00,20.8,334.0,25.5,30.2
DMC 85,2024-02-14 17:00:00,23.9,12.0,25.1,33.4
DMC 85,2024-02-14 18:00:00,23.2,346.0,23.8,40.8
DMC 85,2024-02-14 19:00:00,24.0,340.0,21.4,49.3
DMC 85,2024-02-14 20:00:00,16.5,16.0,19.2,55.6
DMC 85,2024-02-14 21:00:00,11.1,27.0,18.0,58.3
DMC 85,2024-02-14 22:00:00,11.1,21.0,16.9,61.8
DMC 85,2024-02-14 23:00:00,10.7,352.0,15.1,68.7
