Scenario,datetime,WS,WD,TM,RH
DMC 47,2023-01-15 16:00:00,13.8,46.0,26.0,29.6
DMC 47,2023-01-15 17:00:00,15.5,29.0,25.4,33.7
DMC 47,2023-01-15 18:00:00,17.5,20.0,23.8,34.8
DMC 47,2023-01-15 19:00:00,16.0,35.0,20.7,43.2
DMC 47,2023-01-15 20:00:00,7.7,41.0,17.3,53.8
DMC 47,2023-01-15 21:00:00,6.2,31.0,14.4,58.9
DMC 47,2023-01-15 22:00:00,4.8,334.0,12.7,63.5
DMC 47,2023-01-15 23:00:00,3.9,31.0,11.4,67.4
DMC 47,2023-01-16 00:00:00,3.8,27.0,10.2,72.0
DMC 47,2023-01-16 01:00:00,4.0,22.0,9.4,75.7
DMC 47,2023-01-16 02:00:00,4.4,350.0,8.8,80.1
DMC 47,2023-01-16 03:00:00,3.1,4.0,8.6,83.5
