Scenario,datetime,WS,WD,TM,RH
DMC 43,2020-12-04 12:00:00,14.4,16.0,22.9,36.6
DMC 43,2020-12-04 13:00:00,14.6,1.0,25.3,30.8
DMC 43,2020-12-04 14:00:00,14.3,314.0,26.8,27.7
DMC 43,2020-12-04 15:00:00,13.6,319.0,27.2,25.5
DMC 43,2020-12-04 16:00:00,15.0,14.0,27.1,26.4
DMC 43,2020-12-04 17:00:00,14.3,348.0,26.2,31.4
DMC 43,2020-12-04 18:00:00,14.0,353.0,24.5,40.4
DMC 43,2020-12-04 19:00:00,11.8,33.0,21.9,47.4
DMC 43,2020-12-04 20:00:00,8.6,51.0,17.8,60.6
DMC 43,2020-12-04 21:00:00,4.6,33.0,15.5,67.6
DMC 43,2020-12-04 22:00:00,4.3,32.0,14.1,71.2
DMC 43,2020-12-04 23:00:00,1.7,42.0,12.7,74.9
