Scenario,datetime,WS,WD,TM,RH
DMC 65,2021-03-28 12:00:00,23.4,347.0,24.0,33.8
DMC 65,2021-03-28 13:00:00,22.4,348.0,25.9,28.9
DMC 65,2021-03-28 14:00:00,20.1,344.0,27.6,25.5
DMC 65,2021-03-28 15:00:00,20.4,328.0,28.7,25.0
DMC 65,2021-03-28 16:00:00,19.9,359.0,28.8,25.0
DMC 65,2021-03-28 17:00:00,18.1,352.0,28.4,25.0
DMC 65,2021-03-28 18:00:00,9.0,9.0,25.8,32.1
DMC 65,2021-03-28 19:00:00,4.6,111.0,22.1,40.6
DMC 65,2021-03-28 20:00:00,1.4,180.0,17.9,53.8
DMC 65,2021-03-28 21:00:00,2.8,29.0,16.2,60.9
DMC 65,2021-03-28 22:00:00,2.0,152.0,15.0,62.1
DMC 65,2021-03-28 23:00:00,2.3,180.0,13.0,71.9
