Scenario,datetime,WS,WD,TM,RH
DMC 8,2021-03-14 16:00:00,8.9,209.0,29.4,31.9
DMC 8,2021-03-14 17:00:00,11.7,163.0,29.0,36.6
DMC 8,2021-03-14 18:00:00,11.1,51.0,25.1,48.0
DMC 8,2021-03-14 19:00:00,10.3,37.0,21.2,55.1
DMC 8,2021-03-14 20:00:00,7.3,336.0,18.4,58.2
DMC 8,2021-03-14 21:00:00,6.6,355.0,16.4,63.0
DMC 8,2021-03-14 22:00:00,5.9,25.0,14.7,69.2
DMC 8,2021-03-14 23:00:00,3.3,313.0,13.6,74.6
DMC 8,2021-03-15 00:00:00,5.1,39.0,11.8,82.4
DMC 8,2021-03-15 01:00:00,3.9,22.0,11.0,87.9
DMC 8,2021-03-15 02:00:00,4.7,15.0,10.2,94.9
DMC 8,2021-03-15 03:00:00,7.1,41.0,10.3,99.5
