Scenario,datetime,WS,WD,TM,RH
DMC 7,2021-01-18 16:00:00,18.3,38.0,29.7,34.3
DMC 7,2021-01-18 17:00:00,20.2,32.0,27.5,43.4
DMC 7,2021-01-18 18:00:00,19.5,30.0,25.2,49.6
DMC 7,2021-01-18 19:00:00,14.7,43.0,23.0,56.5
DMC 7,2021-01-18 20:00:00,12.4,48.0,19.8,67.2
DMC 7,2021-01-18 21:00:00,8.4,53.0,17.5,75.3
DMC 7,2021-01-18 22:00:00,7.3,25.0,15.7,81.7
DMC 7,2021-01-18 23:00:00,5.7,40.0,14.6,85.6
DMC 7,2021-01-19 00:00:00,6.2,32.0,13.8,88.9
DMC 7,2021-01-19 01:00:00,8.0,57.0,14.1,87.8
DMC 7,2021-01-19 02:00:00,6.8,18.0,13.6,89.0
DMC 7,2021-01-19 03:00:00,4.8,348.0,12.8,91.6
