Scenario,datetime,WS,WD,TM,RH
DMC 22,2023-03-10 12:00:00,20.7,180.0,23.4,43.0
DMC 22,2023-03-10 13:00:00,20.6,162.0,25.8,28.9
DMC 22,2023-03-10 14:00:00,19.9,157.0,26.7,27.8
DMC 22,2023-03-10 15:00:00,19.4,193.0,27.2,28.0
DMC 22,2023-03-10 16:00:00,22.4,140.0,27.5,25.0
DMC 22,2023-03-10 17:00:00,22.5,148.0,26.8,25.0
DMC 22,2023-03-10 18:00:00,14.7,185.0,25.1,25.0
DMC 22,2023-03-10 19:00:00,7.2,146.0,21.4,25.0
DMC 22,2023-03-10 20:00:00,1.4,146.0,19.0,29.9
DMC 22,2023-03-10 21:00:00,3.7,311.0,17.2,47.0
DMC 22,2023-03-10 22:00:00,4.9,295.0,16.1,39.2
DMC 22,2023-03-10 23:00:00,5.9,230.0,14.4,42.0
