Scenario,datetime,WS,WD,TM,RH
DMC 35,2024-03-05 14:00:00,18.7,36.0,27.0,25.0
DMC 35,2024-03-05 15:00:00,20.0,338.0,27.2,25.0
DMC 35,2024-03-05 16:00:00,19.5,7.0,26.7,28.8
DMC 35,2024-03-05 17:00:00,19.6,24.0,25.6,35.3
DMC 35,2024-03-05 18:00:00,16.5,26.0,24.4,39.0
DMC 35,2024-03-05 19:00:00,12.7,26.0,22.6,43.1
DMC 35,2024-03-05 20:00:00,11.7,30.0,19.7,51.7
DMC 35,2024-03-05 21:00:00,9.4,34.0,16.2,65.3
DMC 35,2024-03-05 22:00:00,5.3,30.0,14.5,71.2
DMC 35,2024-03-05 23:00:00,2.0,36.0,13.2,75.1
DMC 35,2024-03-06 00:00:00,2.0,14.0,11.4,80.5
DMC 35,2024-03-06 01:00:00,2.7,32.0,11.4,80.1
