Scenario,datetime,WS,WD,TM,RH
DMC 97,2023-03-10 14:00:00,20.7,118.0,28.1,25.0
DMC 97,2023-03-10 15:00:00,21.6,117.0,28.3,25.0
DMC 97,2023-03-10 16:00:00,20.8,115.0,27.0,25.0
DMC 97,2023-03-10 17:00:00,19.7,147.0,25.4,30.5
DMC 97,2023-03-10 18:00:00,16.1,104.0,23.0,30.8
DMC 97,2023-03-10 19:00:00,11.4,137.0,20.2,38.6
DMC 97,2023-03-10 20:00:00,9.6,148.0,17.6,50.0
DMC 97,2023-03-10 21:00:00,8.2,234.0,15.6,60.5
DMC 97,2023-03-10 22:00:00,3.8,202.0,13.2,71.7
DMC 97,2023-03-10 23:00:00,8.2,158.0,13.3,76.8
DMC 97,2023-03-11 00:00:00,3.9,186.0,12.5,84.3
DMC 97,2023-03-11 01:00:00,7.2,155.0,12.2,88.4
