Scenario,datetime,WS,WD,TM,RH
DMC 98,2023-03-21 16:00:00,13.0,336.0,26.9,25.0
DMC 98,2023-03-21 17:00:00,8.4,337.0,26.2,28.6
DMC 98,2023-03-21 18:00:00,7.7,337.0,26.0,26.2
DMC 98,2023-03-21 19:00:00,11.9,333.0,24.0,33.6
DMC 98,2023-03-21 20:00:00,9.7,52.0,22.0,42.6
DMC 98,2023-03-21 21:00:00,7.3,56.0,20.6,45.4
DMC 98,2023-03-21 22:00:00,10.5,42.0,19.8,46.5
DMC 98,2023-03-21 23:00:00,9.3,41.0,19.4,45.2
DMC 98,2023-03-22 00:00:00,13.4,15.0,18.7,51.0
DMC 98,2023-03-22 01:00:00,9.0,2.0,17.1,59.8
DMC 98,2023-03-22 02:00:00,2.8,337.0,13.6,71.4
DMC 98,2023-03-22 03:00:00,2.7,150.0,11.6,78.8
