Scenario,datetime,WS,WD,TM,RH
DMC 92,2022-12-27 14:00:00,20.8,48.0,27.0,26.5
DMC 92,2022-12-27 15:00:00,22.6,335.0,27.4,26.1
DMC 92,2022-12-27 16:00:00,25.3,343.0,27.0,25.0
DMC 92,2022-12-27 17:00:00,27.4,358.0,25.3,25.0
DMC 92,2022-12-27 18:00:00,28.5,11.0,22.7,26.4
DMC 92,2022-12-27 19:00:00,23.3,12.0,21.0,29.2
DMC 92,2022-12-27 20:00:00,16.7,21.0,18.9,40.7
DMC 92,2022-12-27 21:00:00,10.8,21.0,17.0,49.9
DMC 92,2022-12-27 22:00:00,13.4,357.0,15.7,53.3
DMC 92,2022-12-27 23:00:00,11.3,3.0,14.8,54.4
DMC 92,2022-12-28 00:00:00,10.4,359.0,14.3,55.2
DMC 92,2022-12-28 01:00:00,14.7,29.0,14.0,55.9
