Scenario,datetime,WS,WD,TM,RH
DMC 2,2020-12-24 16:00:00,20.4,7.0,27.1,27.6
DMC 2,2020-12-24 17:00:00,21.0,336.0,26.9,32.3
DMC 2,2020-12-24 18:00:00,23.9,1.0,26.0,35.9
DMC 2,2020-12-24 19:00:00,22.6,9.0,24.0,41.5
DMC 2,2020-12-24 20:00:00,19.0,29.0,21.6,45.8
DMC 2,2020-12-24 21:00:00,12.9,39.0,19.7,52.1
DMC 2,2020-12-24 22:00:00,11.5,38.0,18.4,58.1
DMC 2,2020-12-24 23:00:00,16.1,63.0,17.4,63.7
DMC 2,2020-12-25 00:00:00,11.4,2.0,16.7,66.8
DMC 2,2020-12-25 01:00:00,13.5,16.0,16.6,66.9
DMC 2,2020-12-25 02:00:00,18.5,23.0,16.0,70.0
DMC 2,2020-12-25 03:00:00,20.6,6.0,15.3,76.4
