Scenario,datetime,WS,WD,TM,RH
DMC 25,2024-03-30 14:00:00,22.8,320.0,27.3,32.0
DMC 25,2024-03-30 15:00:00,22.4,28.0,28.1,26.8
DMC 25,2024-03-30 16:00:00,21.8,11.0,28.1,25.5
DMC 25,2024-03-30 17:00:00,22.5,8.0,27.0,30.6
DMC 25,2024-03-30 18:00:00,19.1,21.0,25.3,32.8
DMC 25,2024-03-30 19:00:00,17.7,358.0,23.4,37.1
DMC 25,2024-03-30 20:00:00,17.4,10.0,21.9,41.0
DMC 25,2024-03-30 21:00:00,17.5,358.0,20.2,52.4
DMC 25,2024-03-30 22:00:00,15.0,8.0,18.8,56.4
DMC 25,2024-03-30 23:00:00,17.3,16.0,17.8,55.1
DMC 25,2024-03-31 00:00:00,15.9,356.0,16.4,57.6
DMC 25,2024-03-31 01:00:00,16.8,350.0,15.4,60.7
