Scenario,datetime,WS,WD,TM,RH
DMC 66,2023-01-09 16:00:00,9.4,345.0,29.0,35.5
DMC 66,2023-01-09 17:00:00,9.9,295.0,28.6,35.5
DMC 66,2023-01-09 18:00:00,14.6,117.0,28.1,38.2
DMC 66,2023-01-09 19:00:00,12.3,21.0,24.9,43.8
DMC 66,2023-01-09 20:00:00,15.1,48.0,22.7,53.4
DMC 66,2023-01-09 21:00:00,17.9,3.0,21.1,59.7
DMC 66,2023-01-09 22:00:00,8.4,353.0,20.2,64.3
DMC 66,2023-01-09 23:00:00,11.7,353.0,19.5,68.5
DMC 66,2023-01-10 00:00:00,15.4,352.0,18.4,72.8
DMC 66,2023-01-10 01:00:00,16.4,356.0,17.5,74.5
DMC 66,2023-01-10 02:00:00,14.0,17.0,17.0,74.2
DMC 66,2023-01-10 03:00:00,14.8,356.0,16.6,72.1
