Scenario,datetime,WS,WD,TM,RH
DMC 53,2023-02-01 14:00:00,11.3,342.0,25.6,35.4
DMC 53,2023-02-01 15:00:00,13.0,316.0,26.4,31.9
DMC 53,2023-02-01 16:00:00,14.5,331.0,27.0,29.8
DMC 53,2023-02-01 17:00:00,18.0,26.0,26.0,30.7
DMC 53,2023-02-01 18:00:00,12.8,4.0,25.0,32.9
DMC 53,2023-02-01 19:00:00,13.4,327.0,22.3,37.9
DMC 53,2023-02-01 20:00:00,13.6,26.0,17.3,50.9
DMC 53,2023-02-01 21:00:00,8.6,29.0,14.3,57.1
DMC 53,2023-02-01 22:00:00,3.8,14.0,12.7,62.2
DMC 53,2023-02-01 23:00:00,4.9,64.0,10.9,69.2
DMC 53,2023-02-02 00:00:00,4.9,25.0,10.6,71.8
DMC 53,2023-02-02 01:00:00,3.6,23.0,9.3,78.1
