Scenario,datetime,WS,WD,TM,RH
DMC 87,2024-03-30 16:00:00,22.0,349.0,26.6,29.8
DMC 87,2024-03-30 17:00:00,18.7,3.0,25.7,30.6
DMC 87,2024-03-30 18:00:00,20.4,17.0,24.3,34.8
DMC 87,2024-03-30 19:00:00,18.2,10.0,22.5,45.6
DMC 87,2024-03-30 20:00:00,15.8,15.0,21.0,51.2
DMC 87,2024-03-30 21:00:00,14.8,12.0,20.1,53.7
DMC 87,2024-03-30 22:00:00,9.9,331.0,18.1,57.5
DMC 87,2024-03-30 23:00:00,9.1,253.0,16.5,59.7
DMC 87,2024-03-31 00:00:00,7.3,331.0,15.5,61.8
DMC 87,2024-03-31 01:00:00,9.5,180.0,16.1,60.4
DMC 87,2024-03-31 02:00:00,13.5,20.0,17.7,53.8
DMC 87,2024-03-31 03:00:00,13.0,31.0,17.0,55.4
