Scenario,datetime,WS,WD,TM,RH
DMC 67,2020-11-30 14:00:00,21.9,60.0,26.2,26.1
DMC 67,2020-11-30 15:00:00,24.4,356.0,26.7,25.0
DMC 67,2020-11-30 16:00:00,25.0,18.0,26.5,25.0
DMC 67,2020-11-30 17:00:00,23.0,38.0,25.5,25.0
DMC 67,2020-11-30 18:00:00,20.7,3.0,23.4,31.2
DMC 67,2020-11-30 19:00:00,13.8,21.0,21.0,41.0
DMC 67,2020-11-30 20:00:00,14.4,15.0,18.8,48.3
DMC 67,2020-11-30 21:00:00,15.7,1.0,16.4,57.6
DMC 67,2020-11-30 22:00:00,14.7,349.0,14.0,65.5
DMC 67,2020-11-30 23:00:00,17.6,330.0,12.6,69.8
DMC 67,2020-12-01 00:00:00,7.6,330.0,11.2,75.1
DMC 67,2020-12-01 01:00:00,2.6,134.0,9.4,83.3
