Scenario,datetime,WS,WD,TM,RH
DMC 46,2023-01-27 16:00:00,21.6,18.0,29.0,25.0
DMC 46,2023-01-27 17:00:00,20.6,349.0,28.8,25.0
DMC 46,2023-01-27 18:00:00,20.1,6.0,28.0,25.0
DMC 46,2023-01-27 19:00:00,19.6,4.0,25.8,26.3
DMC 46,2023-01-27 20:00:00,17.9,352.0,22.8,35.7
DMC 46,2023-01-27 21:00:00,18.6,353.0,20.3,41.1
DMC 46,2023-01-27 22:00:00,19.7,358.0,17.6,47.9
DMC 46,2023-01-27 23:00:00,18.0,8.0,15.8,54.2
DMC 46,2023-01-28 00:00:00,21.8,5.0,14.7,57.5
DMC 46,2023-01-28 01:00:00,19.3,10.0,14.3,60.7
DMC 46,2023-01-28 02:00:00,17.9,341.0,13.8,64.6
DMC 46,2023-01-28 03:00:00,16.0,341.0,13.4,67.9
