Scenario,datetime,WS,WD,TM,RH
DMC 64,2024-03-26 12:00:00,10.4,48.0,23.4,37.6
DMC 64,2024-03-26 13:00:00,10.8,43.0,26.0,29.2
DMC 64,2024-03-26 14:00:00,13.5,5.0,27.1,25.4
DMC 64,2024-03-26 15:00:00,13.0,71.0,27.7,25.0
DMC 64,2024-03-26 16:00:00,13.0,349.0,27.8,25.0
DMC 64,2024-03-26 17:00:00,13.6,4.0,27.3,25.0
DMC 64,2024-03-26 18:00:00,13.7,357.0,25.4,34.5
DMC 64,2024-03-26 19:00:00,10.3,22.0,21.5,44.3
DMC 64,2024-03-26 20:00:00,8.0,54.0,17.5,54.9
DMC 64,2024-03-26 21:00:00,4.5,67.0,15.4,59.2
DMC 64,2024-03-26 22:00:00,3.5,22.0,12.6,67.2
DMC 64,2024-03-26 23:00:00,2.8,54.0,11.6,70.5
