Scenario,datetime,WS,WD,TM,RH
DMC 54,2021-03-13 14:00:00,6.7,94.0,27.7,38.9
DMC 54,2021-03-13 15:00:00,5.4,328.0,29.1,35.7
DMC 54,2021-03-13 16:00:00,5.3,34.0,29.6,33.7
DMC 54,2021-03-13 17:00:00,6.9,235.0,29.8,31.3
DMC 54,2021-03-13 18:00:00,7.5,325.0,28.9,34.0
DMC 54,2021-03-13 19:00:00,4.5,43.0,25.5,44.7
DMC 54,2021-03-13 20:00:00,3.3,47.0,21.6,57.3
DMC 54,2021-03-13 21:00:00,2.1,180.0,18.6,68.8
DMC 54,2021-03-13 22:00:00,3.4,187.0,17.0,73.9
DMC 54,2021-03-13 23:00:00,1.6,157.0,15.3,79.6
DMC 54,2021-03-14 00:00:00,3.5,198.0,14.7,82.5
DMC 54,2021-03-14 01:00:00,2.5,180.0,14.0,84.6
