Scenario,datetime,WS,WD,TM,RH
DMC 74,2024-04-27 16:00:00,20.4,5.0,25.6,41.8
DMC 74,2024-04-27 17:00:00,18.6,18.0,24.9,42.4
DMC 74,2024-04-27 18:00:00,13.9,8.0,22.8,50.1
DMC 74,2024-04-27 19:00:00,10.3,355.0,20.3,57.8
DMC 74,2024-04-27 20:00:00,14.4,10.0,19.1,62.0
DMC 74,2024-04-27 21:00:00,12.9,351.0,18.1,66.9
DMC 74,2024-04-27 22:00:00,10.8,10.0,16.6,73.3
DMC 74,2024-04-27 23:00:00,11.1,8.0,15.7,74.9
DMC 74,2024-04-28 00:00:00,9.7,359.0,14.8,77.2
DMC 74,2024-04-28 01:00:00,13.1,347.0,14.6,76.4
DMC 74,2024-04-28 02:00:00,14.1,355.0,14.4,77.0
DMC 74,2024-04-28 03:00:00,12.5,354.0,14.1,79.0
