Scenario,datetime,WS,WD,TM,RH
DMC 70,2023-03-14 16:00:00,18.9,156.0,27.2,25.0
DMC 70,2023-03-14 17:00:00,18.5,140.0,26.1,25.0
DMC 70,2023-03-14 18:00:00,10.5,153.0,24.2,25.0
DMC 70,2023-03-14 19:00:00,9.8,91.0,22.0,38.7
DMC 70,2023-03-14 20:00:00,3.9,48.0,20.1,48.7
DMC 70,2023-03-14 21:00:00,4.3,39.0,17.2,57.8
DMC 70,2023-03-14 22:00:00,3.1,199.0,15.2,65.7
DMC 70,2023-03-14 23:00:00,3.3,195.0,14.0,72.3
DMC 70,2023-03-15 00:00:00,4.3,290.0,14.7,70.4
DMC 70,2023-03-15 01:00:00,6.6,277.0,14.4,69.1
DMC 70,2023-03-15 02:00:00,9.4,244.0,14.1,69.3
DMC 70,2023-03-15 03:00:00,9.0,184.0,13.5,71.4
