Scenario,datetime,WS,WD,TM,RH
DMC 28,2020-12-31 16:00:00,27.9,347.0,26.9,30.0
DMC 28,2020-12-31 17:00:00,27.3,346.0,26.3,27.7
DMC 28,2020-12-31 18:00:00,26.1,8.0,25.4,30.2
DMC 28,2020-12-31 19:00:00,21.1,20.0,23.7,36.2
DMC 28,2020-12-31 20:00:00,20.5,12.0,21.8,42.5
DMC 28,2020-12-31 21:00:00,14.8,1.0,19.9,49.5
DMC 28,2020-12-31 22:00:00,15.8,12.0,18.5,54.0
DMC 28,2020-12-31 23:00:00,12.7,315.0,16.5,61.6
DMC 28,2021-01-01 00:00:00,13.4,333.0,16.4,61.3
DMC 28,2021-01-01 01:00:00,17.0,3.0,18.1,56.6
DMC 28,2021-01-01 02:00:00,22.5,5.0,17.9,58.1
DMC 28,2021-01-01 03:00:00,24.2,3.0,17.3,60.0
