Scenario,datetime,WS,WD,TM,RH
DMC 50,2021-04-03 14:00:00,16.2,350.0,24.6,38.7
DMC 50,2021-04-03 15:00:00,18.7,2.0,25.9,33.9
DMC 50,2021-04-03 16:00:00,15.8,340.0,26.4,30.9
DMC 50,2021-04-03 17:00:00,14.1,359.0,26.2,30.4
DMC 50,2021-04-03 18:00:00,8.5,16.0,23.6,38.7
DMC 50,2021-04-03 19:00:00,3.6,18.0,18.9,52.3
DMC 50,2021-04-03 20:00:00,3.0,154.0,15.8,62.1
DMC 50,2021-04-03 21:00:00,2.8,142.0,13.2,71.7
DMC 50,2021-04-03 22:00:00,1.9,200.0,11.7,78.4
DMC 50,2021-04-03 23:00:00,2.1,250.0,10.0,85.2
DMC 50,2021-04-04 00:00:00,1.9,136.0,9.4,84.9
DMC 50,2021-04-04 01:00:00,2.3,183.0,8.5,87.5
