Scenario,datetime,WS,WD,TM,RH
DMC 63,2020-12-28 12:00:00,7.5,335.0,26.8,46.4
DMC 63,2020-12-28 13:00:00,7.8,240.0,28.0,43.5
DMC 63,2020-12-28 14:00:00,8.0,228.0,29.2,40.8
DMC 63,2020-12-28 15:00:00,13.5,3.0,29.5,40.4
DMC 63,2020-12-28 16:00:00,13.1,11.0,29.7,39.5
DMC 63,2020-12-28 17:00:00,19.3,15.0,28.3,42.0
DMC 63,2020-12-28 18:00:00,16.1,28.0,26.8,45.8
DMC 63,2020-12-28 19:00:00,13.6,44.0,23.6,54.3
DMC 63,2020-12-28 20:00:00,18.6,31.0,20.5,64.7
DMC 63,2020-12-28 21:00:00,18.8,353.0,18.7,71.4
DMC 63,2020-12-28 22:00:00,5.4,26.0,17.9,74.6
DMC 63,2020-12-28 23:00:00,10.5,40.0,16.8,78.5
