Scenario,datetime,WS,WD,TM,RH
DMC 99,2023-02-13 16:00:00,13.2,18.0,26.1,29.4
DMC 99,2023-02-13 17:00:00,23.2,355.0,25.9,29.3
DMC 99,2023-02-13 18:00:00,27.4,358.0,23.6,33.1
DMC 99,2023-02-13 19:00:00,26.4,10.0,20.5,41.4
DMC 99,2023-02-13 20:00:00,22.3,12.0,18.6,47.0
DMC 99,2023-02-13 21:00:00,16.8,23.0,17.9,50.0
DMC 99,2023-02-13 22:00:00,19.5,17.0,16.9,55.6
DMC 99,2023-02-13 23:00:00,11.1,16.0,15.5,60.7
DMC 99,2023-02-14 00:00:00,8.6,340.0,14.2,67.4
DMC 99,2023-02-14 01:00:00,9.7,342.0,13.9,70.0
DMC 99,2023-02-14 02:00:00,6.6,345.0,12.9,73.1
DMC 99,2023-02-14 03:00:00,5.4,349.0,11.4,75.9
