Scenario,datetime,WS,WD,TM,RH
DMC 40,2023-12-25 16:00:00,10.5,271.0,29.2,39.8
DMC 40,2023-12-25 17:00:00,17.3,26.0,28.2,40.3
DMC 40,2023-12-25 18:00:00,21.5,359.0,24.8,46.6
DMC 40,2023-12-25 19:00:00,19.4,333.0,21.8,55.1
DMC 40,2023-12-25 20:00:00,20.2,354.0,19.0,61.0
DMC 40,2023-12-25 21:00:00,18.8,5.0,17.3,65.7
DMC 40,2023-12-25 22:00:00,16.7,347.0,15.0,72.4
DMC 40,2023-12-25 23:00:00,14.4,355.0,13.4,78.9
DMC 40,2023-12-26 00:00:00,15.6,354.0,12.4,82.4
DMC 40,2023-12-26 01:00:00,18.4,354.0,11.8,84.2
DMC 40,2023-12-26 02:00:00,20.0,9.0,11.6,85.1
DMC 40,2023-12-26 03:00:00,24.0,349.0,11.2,86.0
