Scenario,datetime,WS,WD,TM,RH
DMC 59,2023-03-14 12:00:00,8.2,38.0,21.3,37.5
DMC 59,2023-03-14 13:00:00,16.0,170.0,23.6,25.0
DMC 59,2023-03-14 14:00:00,16.8,156.0,24.5,25.0
DMC 59,2023-03-14 15:00:00,16.3,118.0,25.0,25.0
DMC 59,2023-03-14 16:00:00,20.1,138.0,25.3,27.7
DMC 59,2023-03-14 17:00:00,16.8,160.0,23.9,34.6
DMC 59,2023-03-14 18:00:00,13.7,134.0,21.4,47.0
DMC 59,2023-03-14 19:00:00,8.2,96.0,18.7,54.2
DMC 59,2023-03-14 20:00:00,1.9,106.0,17.3,58.2
DMC 59,2023-03-14 21:00:00,0.7,180.0,16.4,60.1
DMC 59,2023-03-14 22:00:00,4.0,225.0,14.7,66.2
DMC 59,2023-03-14 23:00:00,4.9,229.0,13.8,68.5
