Scenario,datetime,WS,WD,TM,RH
DMC 19,2024-03-29 16:00:00,14.4,40.0,26.2,25.0
DMC 19,2024-03-29 17:00:00,10.6,28.0,24.7,33.5
DMC 19,2024-03-29 18:00:00,8.0,324.0,24.0,36.7
DMC 19,2024-03-29 19:00:00,7.9,10.0,23.1,42.4
DMC 19,2024-03-29 20:00:00,9.0,37.0,21.3,49.1
DMC 19,2024-03-29 21:00:00,4.9,359.0,19.1,61.0
DMC 19,2024-03-29 22:00:00,4.1,320.0,18.2,70.4
DMC 19,2024-03-29 23:00:00,4.5,352.0,17.0,82.3
DMC 19,2024-03-30 00:00:00,3.3,283.0,17.0,80.2
DMC 19,2024-03-30 01:00:00,4.1,14.0,16.8,80.0
DMC 19,2024-03-30 02:00:00,7.8,32.0,16.7,86.6
DMC 19,2024-03-30 03:00:00,7.2,26.0,15.8,97.0
