Scenario,datetime,WS,WD,TM,RH
DMC 4,2023-01-19 14:00:00,21.5,138.0,29.5,28.6
DMC 4,2023-01-19 15:00:00,23.9,122.0,28.4,29.7
DMC 4,2023-01-19 16:00:00,22.5,144.0,27.2,34.6
DMC 4,2023-01-19 17:00:00,24.3,126.0,24.2,42.8
DMC 4,2023-01-19 18:00:00,21.9,135.0,20.2,56.1
DMC 4,2023-01-19 19:00:00,22.4,125.0,18.6,62.6
DMC 4,2023-01-19 20:00:00,18.5,139.0,16.6,69.7
DMC 4,2023-01-19 21:00:00,15.3,173.0,15.2,75.6
DMC 4,2023-01-19 22:00:00,11.1,190.0,14.2,79.6
DMC 4,2023-01-19 23:00:00,7.6,180.0,13.8,81.5
DMC 4,2023-01-20 00:00:00,4.9,205.0,13.3,83.6
DMC 4,2023-01-20 01:00:00,5.7,215.0,12.6,86.4
