Scenario,datetime,WS,WD,TM,RH
DMC 44,2021-02-01 14:00:00,15.7,39.0,25.8,40.7
DMC 44,2021-02-01 15:00:00,17.3,40.0,26.7,38.3
DMC 44,2021-02-01 16:00:00,16.1,345.0,25.4,40.8
DMC 44,2021-02-01 17:00:00,13.3,323.0,25.2,43.7
DMC 44,2021-02-01 18:00:00,10.3,329.0,25.6,41.7
DMC 44,2021-02-01 19:00:00,19.7,354.0,24.0,52.5
DMC 44,2021-02-01 20:00:00,11.3,18.0,22.0,58.9
DMC 44,2021-02-01 21:00:00,11.6,340.0,20.5,62.9
DMC 44,2021-02-01 22:00:00,9.9,11.0,19.1,64.4
DMC 44,2021-02-01 23:00:00,7.0,13.0,17.9,67.2
DMC 44,2021-02-02 00:00:00,6.1,77.0,17.2,69.5
DMC 44,2021-02-02 01:00:00,4.5,341.0,16.1,72.0
