Scenario,datetime,WS,WD,TM,RH
DMC 39,2020-12-25 12:00:00,22.4,37.0,27.0,39.5
DMC 39,2020-12-25 13:00:00,21.0,46.0,28.6,34.9
DMC 39,2020-12-25 14:00:00,22.9,0.0,29.7,32.4
DMC 39,2020-12-25 15:00:00,23.8,332.0,29.9,31.6
DMC 39,2020-12-25 16:00:00,24.5,352.0,29.9,32.4
DMC 39,2020-12-25 17:00:00,25.5,3.0,28.9,34.5
DMC 39,2020-12-25 18:00:00,26.5,355.0,27.4,37.2
DMC 39,2020-12-25 19:00:00,23.3,4.0,25.1,40.5
DMC 39,2020-12-25 20:00:00,18.5,358.0,22.6,45.5
DMC 39,2020-12-25 21:00:00,13.5,355.0,20.3,56.6
DMC 39,2020-12-25 22:00:00,14.4,332.0,17.9,69.2
DMC 39,2020-12-25 23:00:00,17.9,346.0,16.8,74.3
