Scenario,datetime,WS,WD,TM,RH
DMC 48,2023-03-11 12:00:00,22.1,228.0,23.7,46.8
DMC 48,2023-03-11 13:00:00,24.6,180.0,25.2,38.9
DMC 48,2023-03-11 14:00:00,22.6,166.0,26.3,36.3
DMC 48,2023-03-11 15:00:00,23.5,174.0,26.6,36.6
DMC 48,2023-03-11 16:00:00,24.5,138.0,26.3,39.2
DMC 48,2023-03-11 17:00:00,22.0,145.0,25.0,40.9
DMC 48,2023-03-11 18:00:00,19.4,155.0,23.1,43.6
DMC 48,2023-03-11 19:00:00,15.5,126.0,21.2,53.1
DMC 48,2023-03-11 20:00:00,7.1,138.0,19.0,60.9
DMC 48,2023-03-11 21:00:00,6.5,244.0,17.8,68.8
DMC 48,2023-03-11 22:00:00,11.4,195.0,17.7,72.8
DMC 48,2023-03-11 23:00:00,17.1,233.0,17.0,76.8
