Scenario,datetime,WS,WD,TM,RH
DMC 3,2023-12-27 16:00:00,10.1,0.0,25.0,51.3
DMC 3,2023-12-27 17:00:00,11.1,35.0,24.6,53.9
DMC 3,2023-12-27 18:00:00,11.4,14.0,21.1,68.9
DMC 3,2023-12-27 19:00:00,6.5,56.0,18.7,76.2
DMC 3,2023-12-27 20:00:00,6.3,66.0,16.7,81.3
DMC 3,2023-12-27 21:00:00,5.5,48.0,15.4,82.2
DMC 3,2023-12-27 22:00:00,2.4,40.0,14.4,85.2
DMC 3,2023-12-27 23:00:00,0.6,180.0,13.1,91.0
DMC 3,2023-12-28 00:00:00,0.0,180.0,12.1,93.9
DMC 3,2023-12-28 01:00:00,0.3,180.0,11.5,95.4
DMC 3,2023-12-28 02:00:00,1.2,180.0,10.8,95.8
DMC 3,2023-12-28 03:00:00,4.0,272.0,11.0,96.6
