Scenario,datetime,WS,WD,TM,RH
DMC 56,2024-01-24 12:00:00,21.7,30.0,25.1,25.0
DMC 56,2024-01-24 13:00:00,20.4,29.0,26.5,25.0
DMC 56,2024-01-24 14:00:00,22.3,1.0,27.3,25.0
DMC 56,2024-01-24 15:00:00,25.4,336.0,28.1,25.0
DMC 56,2024-01-24 16:00:00,22.1,19.0,27.8,25.0
DMC 56,2024-01-24 17:00:00,23.5,347.0,27.1,25.0
DMC 56,2024-01-24 18:00:00,26.1,8.0,25.8,25.0
DMC 56,2024-01-24 19:00:00,21.6,359.0,23.7,31.9
DMC 56,2024-01-24 20:00:00,15.4,32.0,21.5,40.8
DMC 56,2024-01-24 21:00:00,12.3,2.0,19.2,49.6
DMC 56,2024-01-24 22:00:00,16.1,317.0,16.8,56.9
DMC 56,2024-01-24 23:00:00,11.0,356.0,15.4,62.4
